model,arm,n_nums,n_ents,keep_nums,keep_ents,num_rate,ent_rate
G2,ANCHOR-BASE,494,707,398,464,0.805668016194332,0.6562942008486563
G2,ANCHOR-CONE,494,707,380,459,0.7692307692307693,0.6492220650636492
G2,LEX-MATCH,494,707,398,464,0.805668016194332,0.6562942008486563
G2,RAND-RANK-DOSE,494,707,387,464,0.7834008097165992,0.6562942008486563
L1,ANCHOR-BASE,494,707,334,373,0.6761133603238867,0.5275813295615276
L1,ANCHOR-CONE,494,707,328,321,0.6639676113360324,0.45403111739745405
L1,LEX-MATCH,494,707,334,371,0.6761133603238867,0.5247524752475248
L1,RAND-RANK-DOSE,494,707,257,306,0.520242914979757,0.4328147100424328
O1,ANCHOR-BASE,494,707,392,456,0.7935222672064778,0.6449787835926449
O1,ANCHOR-CONE,494,707,417,486,0.8441295546558705,0.6874115983026874
O1,LEX-MATCH,494,707,392,456,0.7935222672064778,0.6449787835926449
O1,RAND-RANK-DOSE,494,707,383,464,0.7753036437246964,0.6562942008486563
Q08,ANCHOR-BASE,494,707,450,519,0.9109311740890689,0.7340876944837341
Q08,ANCHOR-CONE,494,707,435,516,0.8805668016194332,0.7298444130127298
Q08,LEX-MATCH,494,707,401,487,0.8117408906882592,0.6888260254596889
Q08,RAND-RANK-DOSE,494,707,371,410,0.7510121457489879,0.57991513437058
Q20,ANCHOR-BASE,494,707,468,520,0.9473684210526315,0.7355021216407355
Q20,ANCHOR-CONE,494,707,484,560,0.979757085020243,0.7920792079207921
Q20,LEX-MATCH,494,707,418,497,0.8461538461538461,0.7029702970297029
Q20,RAND-RANK-DOSE,494,707,458,520,0.9271255060728745,0.7355021216407355
